epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.956,1.39469,2.77807,1.29518,0.6943,0.69356,0.70663,0.53273,0.89691,1.10732,1.09378,8.98311e-05,8.98311e-05,8.98311e-05
2,227.896,1.15565,1.10572,1.19558,0.94667,0.86495,0.94436,0.76108,0.73424,0.65261,1.00863,0.00017627,0.00017627,0.00017627
3,334.879,1.08503,0.90447,1.15374,0.96058,0.9317,0.98276,0.79921,0.71915,0.57725,0.98933,0.000259146,0.000259146,0.000259146
4,437.66,1.04573,0.81427,1.13195,0.91787,0.95621,0.9656,0.78306,0.70817,0.58502,0.97691,0.000253962,0.000253962,0.000253962
5,538.924,1.01513,0.7443,1.11457,0.97195,0.97821,0.9872,0.80867,0.71103,0.47845,0.97044,0.000248616,0.000248616,0.000248616
6,639.686,0.98977,0.69724,1.0993,0.97979,0.98633,0.98845,0.82058,0.67159,0.44251,0.96149,0.00024327,0.00024327,0.00024327
7,740.808,0.97311,0.66262,1.09742,0.97809,0.98302,0.98842,0.82838,0.65486,0.43548,0.95182,0.000237924,0.000237924,0.000237924
8,841.91,0.95335,0.63236,1.08754,0.9795,0.98599,0.98811,0.82825,0.6375,0.40347,0.94685,0.000232578,0.000232578,0.000232578
9,942.903,0.94588,0.61566,1.08509,0.97766,0.97959,0.98709,0.82987,0.63218,0.3881,0.94743,0.000227232,0.000227232,0.000227232
10,1043.75,0.93438,0.59374,1.07592,0.98062,0.9844,0.98851,0.8291,0.63708,0.37253,0.94052,0.000221886,0.000221886,0.000221886
11,1144.99,0.9252,0.58403,1.07159,0.98342,0.98596,0.98702,0.83593,0.61657,0.36028,0.93541,0.00021654,0.00021654,0.00021654
12,1245.97,0.91314,0.56659,1.06606,0.98115,0.9817,0.98831,0.83641,0.61825,0.35222,0.9383,0.000211194,0.000211194,0.000211194
13,1347.12,0.9009,0.55445,1.06091,0.97886,0.98784,0.9896,0.84024,0.6113,0.33855,0.93023,0.000205848,0.000205848,0.000205848
14,1447.97,0.89341,0.5383,1.05379,0.98211,0.98809,0.98894,0.84296,0.60686,0.33612,0.93428,0.000200502,0.000200502,0.000200502
15,1550.42,0.88753,0.52849,1.05352,0.9789,0.98986,0.9897,0.84048,0.61937,0.32834,0.93606,0.000195156,0.000195156,0.000195156
16,1652.91,0.88318,0.52307,1.05073,0.98217,0.9848,0.98859,0.84189,0.60719,0.32292,0.92995,0.00018981,0.00018981,0.00018981
17,1755.87,0.88033,0.51887,1.04876,0.98568,0.98574,0.99015,0.84329,0.60313,0.3217,0.92751,0.000184464,0.000184464,0.000184464
18,1859.78,0.87137,0.50657,1.04298,0.9772,0.98628,0.98999,0.84502,0.60119,0.3144,0.9292,0.000179118,0.000179118,0.000179118
19,1964.59,0.86841,0.50401,1.04319,0.98069,0.98979,0.98955,0.84526,0.60103,0.31204,0.92478,0.000173772,0.000173772,0.000173772
20,2066.95,0.86207,0.49534,1.03793,0.98449,0.98643,0.99018,0.84793,0.59873,0.30411,0.92607,0.000168426,0.000168426,0.000168426
21,2169.15,0.86133,0.49322,1.03957,0.98007,0.99157,0.98971,0.84714,0.60284,0.30464,0.92617,0.00016308,0.00016308,0.00016308
22,2270.43,0.85148,0.48486,1.03385,0.98347,0.98496,0.99036,0.85095,0.58747,0.29772,0.92317,0.000157734,0.000157734,0.000157734
23,2372.41,0.84451,0.47975,1.02954,0.98294,0.9901,0.99084,0.85282,0.58585,0.29404,0.91947,0.000152388,0.000152388,0.000152388
24,2473.96,0.84234,0.47558,1.02805,0.98288,0.98798,0.99051,0.85068,0.58705,0.29157,0.92326,0.000147042,0.000147042,0.000147042
25,2575.16,0.83237,0.46918,1.0245,0.98212,0.98775,0.99017,0.85149,0.58643,0.29147,0.91982,0.000141696,0.000141696,0.000141696
