epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3022,1.22313,1.81056,1.25763,0.84862,0.82779,0.87679,0.55723,1.1281,1.63263,1.09931,0.00066417,0.00066417,0.00066417
2,115.228,1.25219,1.19883,1.28592,0.889,0.90159,0.92373,0.58956,1.12588,1.05051,1.1094,0.00130449,0.00130449,0.00130449
3,170.164,1.24909,1.05101,1.30292,0.91142,0.8437,0.93299,0.61958,1.11668,1.19424,1.10074,0.0019184,0.0019184,0.0019184
4,222.983,1.2333,0.97208,1.28618,0.9094,0.89725,0.94554,0.65455,1.02576,0.74953,1.07342,0.0018812,0.0018812,0.0018812
5,275.175,1.17262,0.85437,1.26808,0.97468,0.94704,0.97751,0.67728,1.0233,0.67462,1.06397,0.0018416,0.0018416,0.0018416
6,326.684,1.15392,0.85329,1.24036,0.95331,0.94551,0.97116,0.64306,1.12664,0.68799,1.10218,0.001802,0.001802,0.001802
7,377.444,1.12041,0.79137,1.22237,0.97169,0.93777,0.97669,0.71285,0.92543,0.593,1.01382,0.0017624,0.0017624,0.0017624
8,427.98,1.09643,0.76394,1.2128,0.9633,0.95803,0.97534,0.70859,0.89347,0.5891,0.99566,0.0017228,0.0017228,0.0017228
9,478.511,1.0694,0.72889,1.19383,0.96001,0.95658,0.9797,0.74718,0.85581,0.54797,0.99095,0.0016832,0.0016832,0.0016832
10,529.216,1.06817,0.72438,1.18362,0.95982,0.96809,0.98499,0.72895,0.91557,0.54535,1.00756,0.0016436,0.0016436,0.0016436
11,579.675,1.03562,0.70259,1.1698,0.96147,0.95369,0.9828,0.74237,0.88284,0.57173,0.9967,0.001604,0.001604,0.001604
12,630.223,1.02389,0.68069,1.1662,0.96316,0.96237,0.98371,0.74413,0.8962,0.54169,1.00167,0.0015644,0.0015644,0.0015644
13,680.895,1.0284,0.67573,1.16788,0.96383,0.96419,0.98773,0.72751,0.84953,0.55475,1.01326,0.0015248,0.0015248,0.0015248
14,731.318,0.99568,0.65005,1.14549,0.96276,0.96237,0.98463,0.75573,0.85342,0.54231,1.00698,0.0014852,0.0014852,0.0014852
15,782.091,0.98736,0.63836,1.14563,0.97231,0.96547,0.98227,0.75749,0.85496,0.5113,1.00047,0.0014456,0.0014456,0.0014456
16,833.09,0.98928,0.64222,1.14083,0.96328,0.96237,0.97788,0.737,0.86693,0.51791,1.00106,0.001406,0.001406,0.001406
17,883.777,0.97076,0.62821,1.1358,0.96544,0.97106,0.99096,0.74849,0.89016,0.4974,1.00302,0.0013664,0.0013664,0.0013664
18,934.555,0.95832,0.59928,1.13393,0.96268,0.97052,0.98648,0.74972,0.79574,0.51283,0.96747,0.0013268,0.0013268,0.0013268
19,985.788,0.95165,0.59536,1.122,0.97362,0.96145,0.98688,0.76672,0.82589,0.47317,0.96801,0.0012872,0.0012872,0.0012872
20,1036.63,0.94852,0.59884,1.12173,0.96961,0.97106,0.98204,0.7625,0.83653,0.46844,0.97792,0.0012476,0.0012476,0.0012476
21,1087.48,0.94213,0.58897,1.11276,0.98568,0.95948,0.98599,0.77842,0.8119,0.45535,0.98494,0.001208,0.001208,0.001208
22,1138.53,0.91483,0.57476,1.09758,0.96935,0.96816,0.99076,0.7529,0.85104,0.46681,0.97959,0.0011684,0.0011684,0.0011684
23,1189.81,0.91634,0.55979,1.10725,0.96703,0.97629,0.98948,0.77602,0.80176,0.44961,0.95825,0.0011288,0.0011288,0.0011288
24,1240.7,0.90449,0.55769,1.09442,0.97323,0.96237,0.98448,0.78014,0.8107,0.44397,0.97552,0.0010892,0.0010892,0.0010892
25,1291.89,0.89845,0.55095,1.09493,0.97824,0.96961,0.99062,0.77043,0.80396,0.4378,0.96459,0.0010496,0.0010496,0.0010496
26,1343.15,0.89868,0.55451,1.09676,0.9682,0.96945,0.98778,0.7788,0.77052,0.44926,0.95114,0.00101,0.00101,0.00101
27,1394.6,0.87404,0.52894,1.08776,0.97369,0.97106,0.99032,0.79465,0.7351,0.417,0.93365,0.0009704,0.0009704,0.0009704
28,1445.83,0.87481,0.5327,1.09019,0.95852,0.98119,0.99033,0.76926,0.80639,0.43021,0.9545,0.0009308,0.0009308,0.0009308
29,1497.25,0.86854,0.52676,1.07979,0.97954,0.96985,0.99002,0.78442,0.78828,0.41794,0.94979,0.0008912,0.0008912,0.0008912
30,1548.47,0.85959,0.51841,1.07577,0.96868,0.97395,0.99118,0.77744,0.79097,0.42962,0.9503,0.0008516,0.0008516,0.0008516
31,1599.83,0.84642,0.51596,1.06661,0.96439,0.97995,0.98966,0.79349,0.74274,0.40973,0.93837,0.000812,0.000812,0.000812
32,1651.11,0.85005,0.5082,1.07432,0.96904,0.9754,0.98201,0.79972,0.73894,0.39892,0.94093,0.0007724,0.0007724,0.0007724
33,1702.44,0.84812,0.50082,1.05876,0.97391,0.9754,0.99115,0.80441,0.73725,0.39354,0.93659,0.0007328,0.0007328,0.0007328
34,1753.67,0.82677,0.49241,1.059,0.97269,0.97829,0.98987,0.80449,0.7108,0.39146,0.92228,0.0006932,0.0006932,0.0006932
35,1804.96,0.81677,0.47992,1.05642,0.97951,0.9725,0.98968,0.80079,0.73004,0.39037,0.93747,0.0006536,0.0006536,0.0006536
36,1856.56,0.81039,0.47895,1.05098,0.97297,0.97974,0.99,0.8033,0.72823,0.39062,0.92793,0.000614,0.000614,0.000614
37,1907.7,0.81361,0.48203,1.05599,0.96694,0.98119,0.99288,0.79792,0.74196,0.39205,0.93551,0.0005744,0.0005744,0.0005744
38,1958.73,0.81116,0.4733,1.05461,0.97671,0.97103,0.9917,0.79554,0.758,0.38639,0.94392,0.0005348,0.0005348,0.0005348
39,2010.04,0.79393,0.46562,1.0474,0.9741,0.97972,0.99127,0.8029,0.73744,0.38511,0.93403,0.0004952,0.0004952,0.0004952
40,2060.87,0.79795,0.4631,1.04632,0.97541,0.97592,0.99123,0.79976,0.71899,0.37842,0.92646,0.0004556,0.0004556,0.0004556
41,2133.32,0.75363,0.39217,1.00785,0.97543,0.9768,0.98934,0.79938,0.72278,0.36867,0.92695,0.000416,0.000416,0.000416
42,2183.65,0.73627,0.37531,0.99702,0.97682,0.97556,0.9897,0.81095,0.69571,0.366,0.92384,0.0003764,0.0003764,0.0003764
43,2234.14,0.72662,0.37067,0.99083,0.97818,0.97297,0.9894,0.8117,0.68814,0.35589,0.92069,0.0003368,0.0003368,0.0003368
44,2284.74,0.71587,0.36428,0.99627,0.97957,0.97158,0.99113,0.81017,0.68378,0.35735,0.91804,0.0002972,0.0002972,0.0002972
45,2335.59,0.70918,0.36624,0.98484,0.97842,0.9754,0.99077,0.81457,0.67229,0.35126,0.91275,0.0002576,0.0002576,0.0002576
46,2386.21,0.70083,0.35511,0.98408,0.97546,0.97786,0.99117,0.81319,0.68764,0.34523,0.91276,0.000218,0.000218,0.000218
47,2436.98,0.68762,0.34754,0.9754,0.98081,0.9754,0.99186,0.81148,0.69786,0.34105,0.9175,0.0001784,0.0001784,0.0001784
48,2487.95,0.68464,0.34396,0.97037,0.97139,0.98287,0.99033,0.82084,0.66644,0.33696,0.90944,0.0001388,0.0001388,0.0001388
49,2539.03,0.66915,0.33942,0.96969,0.98365,0.9754,0.9928,0.82093,0.65157,0.32978,0.90628,9.92e-05,9.92e-05,9.92e-05
50,2590.05,0.66868,0.33274,0.96499,0.98325,0.9754,0.99259,0.81923,0.66394,0.33254,0.90511,5.96e-05,5.96e-05,5.96e-05
